연도,폭염일수,해당 달 평균 최고기온,가장 더운 달
2000,11.2,30.5,7월
2001,11.600000000000001,30.5,8월
2002,5.4,28.6,7월
2003,1.2000000000000002,28.0,8월
2004,14.9,29.9,8월
2005,9.7,29.6,8월
2006,13.5,31.6,8월
2007,8.8,30.4,8월
2008,11.2,30.4,7월
2009,3.7,29.1,8월
2010,12.3,31.1,8월
2011,6.3,29.2,8월
2012,13.999999999999998,30.7,8월
2013,16.6,32.3,8월
2014,6.7,29.7,7월
2015,9.7,30.2,8월
2016,21.8,32.0,8월
2017,13.6,30.6,7월
2018,31.0,32.2,8월
2019,13.0,31.0,8월
2020,7.7,30.5,8월
2021,11.7,30.8,7월
2022,10.7,30.3,7월
2023,14.2,30.9,8월
2024,30.0,33.0,8월
